time in s,CH2 in V
-65.50015E-6,854.2E-3
-65.00015E-6,794.2E-3
-65.00015E-6,834.2E-3
-64.50016E-6,794.2E-3
-64.50016E-6,834.2E-3
-64.00016E-6,774.2E-3
-64.00016E-6,834.2E-3
-63.50016E-6,774.2E-3
-63.50016E-6,814.2E-3
-63.00017E-6,774.2E-3
-63.00017E-6,814.2E-3
-62.50017E-6,754.2E-3
-62.50017E-6,814.2E-3
-62.00018E-6,754.2E-3
-62.00018E-6,794.2E-3
-61.50018E-6,754.2E-3
-61.50018E-6,794.2E-3
-61.00018E-6,754.2E-3
-61.00018E-6,794.2E-3
-60.50018E-6,734.2E-3
-60.50018E-6,794.2E-3
-60.00018E-6,734.2E-3
-60.00018E-6,794.2E-3
-59.50018E-6,734.2E-3
-59.50018E-6,774.2E-3
-59.00018E-6,734.2E-3
-59.00018E-6,774.2E-3
-58.50018E-6,714.2E-3
-58.50018E-6,774.2E-3
-58.00018E-6,714.2E-3
-58.00018E-6,754.2E-3
-57.50018E-6,714.2E-3
-57.50018E-6,754.2E-3
-57.00018E-6,714.2E-3
-57.00018E-6,774.2E-3
-56.50018E-6,714.2E-3
-56.50018E-6,754.2E-3
-56.00018E-6,694.2E-3
-56.00018E-6,754.2E-3
-55.50018E-6,694.2E-3
-55.50018E-6,754.2E-3
-55.00018E-6,694.2E-3
-55.00018E-6,734.2E-3
-54.50018E-6,694.2E-3
-54.50018E-6,734.2E-3
-54.00018E-6,694.2E-3
-54.00018E-6,734.2E-3
-53.50018E-6,674.2E-3
-53.50018E-6,734.2E-3
-53.00001E-6,694.2E-3
-53.00001E-6,734.2E-3
-52.50001E-6,674.2E-3
-52.50001E-6,734.2E-3
-52.00001E-6,674.2E-3
-52.00001E-6,714.2E-3
-51.50001E-6,674.2E-3
-51.50001E-6,734.2E-3
-51.00001E-6,674.2E-3
-51.00001E-6,734.2E-3
-50.50001E-6,674.2E-3
-50.50001E-6,714.2E-3
-50.00001E-6,674.2E-3
-50.00001E-6,714.2E-3
-49.50001E-6,654.2E-3
-49.50001E-6,714.2E-3
-49.00001E-6,674.2E-3
-49.00001E-6,734.2E-3
-48.50001E-6,674.2E-3
-48.50001E-6,714.2E-3
-48.00001E-6,674.2E-3
-48.00001E-6,714.2E-3
-47.50001E-6,674.2E-3
-47.50001E-6,714.2E-3
-47.00001E-6,654.2E-3
-47.00001E-6,714.2E-3
-46.50001E-6,674.2E-3
-46.50001E-6,714.2E-3
-46.00001E-6,674.2E-3
-46.00001E-6,714.2E-3
-45.50001E-6,654.2E-3
-45.50001E-6,714.2E-3
-45.00001E-6,654.2E-3
-45.00001E-6,714.2E-3
-44.50001E-6,674.2E-3
-44.50001E-6,714.2E-3
-44.00001E-6,674.2E-3
-44.00001E-6,714.2E-3
-43.50001E-6,674.2E-3
-43.50001E-6,734.2E-3
-43.00001E-6,674.2E-3
-43.00001E-6,714.2E-3
-42.50001E-6,674.2E-3
-42.50001E-6,734.2E-3
-42.00001E-6,674.2E-3
-42.00001E-6,714.2E-3
-41.50001E-6,674.2E-3
-41.50001E-6,714.2E-3
-41.00001E-6,674.2E-3
-41.00001E-6,734.2E-3
-40.50001E-6,674.2E-3
-40.50001E-6,734.2E-3
-40.00001E-6,674.2E-3
-40.00001E-6,734.2E-3
-39.50001E-6,694.2E-3
-39.50001E-6,734.2E-3
-39.00001E-6,694.2E-3
-39.00001E-6,754.2E-3
-38.50001E-6,694.2E-3
-38.50001E-6,754.2E-3
-38.00001E-6,694.2E-3
-38.00001E-6,734.2E-3
-37.50001E-6,694.2E-3
-37.50001E-6,754.2E-3
-37.00001E-6,694.2E-3
-37.00001E-6,754.2E-3
-36.50001E-6,694.2E-3
-36.50001E-6,754.2E-3
-36.00001E-6,694.2E-3
-36.00001E-6,754.2E-3
-35.50001E-6,714.2E-3
-35.50001E-6,754.2E-3
-35.00001E-6,714.2E-3
-35.00001E-6,774.2E-3
-34.50000E-6,714.2E-3
-34.50000E-6,774.2E-3
-34.00000E-6,714.2E-3
-34.00000E-6,774.2E-3
-33.50000E-6,714.2E-3
-33.50000E-6,774.2E-3
-33.00000E-6,734.2E-3
-33.00000E-6,794.2E-3
-32.50000E-6,734.2E-3
-32.50000E-6,794.2E-3
-32.00000E-6,734.2E-3
-32.00000E-6,794.2E-3
-31.50000E-6,734.2E-3
-31.50000E-6,794.2E-3
-31.00000E-6,734.2E-3
-31.00000E-6,794.2E-3
-30.50000E-6,754.2E-3
-30.50000E-6,794.2E-3
-30.00000E-6,754.2E-3
-30.00000E-6,794.2E-3
-29.50000E-6,754.2E-3
-29.50000E-6,814.2E-3
-29.00000E-6,754.2E-3
-29.00000E-6,814.2E-3
-28.50000E-6,754.2E-3
-28.50000E-6,814.2E-3
