time in s,CH2 in V
-47.99999E-6,-2.083
-47.99999E-6,-1.483
-46.99999E-6,-2.083
-46.99999E-6,-1.483
-45.99999E-6,-2.083
-45.99999E-6,-1.483
-44.99999E-6,-1.883
-44.99999E-6,-1.483
-43.99999E-6,-1.883
-43.99999E-6,-1.283
-42.99999E-6,-1.883
-42.99999E-6,-1.283
-41.99999E-6,-1.883
-41.99999E-6,-1.283
-40.99999E-6,-1.683
-40.99999E-6,-1.283
-39.99998E-6,-1.683
-39.99998E-6,-1.083
-38.99998E-6,-1.683
-38.99998E-6,-1.083
-37.99998E-6,-1.683
-37.99998E-6,-1.083
-36.99998E-6,-1.483
-36.99998E-6,-1.083
-35.99998E-6,-1.483
